"id","subfunction","tier","child_of_subfunction","definition"
31,condition,3,27,"to render a flow appropriate for the desired use. example: to prevent damage to electrical equipment, a surge protector conditions electrical energy by excluding spikes and noise (usually through capacitors) from the energy path."
32,stop,2,22,"to cease, or prevent, the transfer of a flow (material, energy, signal). example: a reflective coating on a window stops the transmission of uv radiation through a window."
33,prevent,3,32,to keep a flow from happening. example: a submerged gate on a dam wall prevents water from flowing to the other side.
34,inhibit,3,32,"to significantly restrain a flow, though a portion of the flow continues to be transferred. example: the structures of space vehicles inhibits the flow of radiation to protect crew and cargo."
35,convert,1,,"to change from one form of a flow (material, energy, signal) to another. for completeness, any type of flow conversion is valid. in practice, conversions such as convert electricity to torque will be more common than convert solid to optical energy. example: an electrical motor converts electricity to rotational energy"
36,convert,2,35,"to change from one form of a flow (material, energy, signal) to another. for completeness, any type of flow conversion is valid. in practice, conversions such as convert electricity to torque will be more common than convert solid to optical energy. example: an electrical motor converts electricity to rotational energy"
37,provision,1,,to accumulate or provide a material or energy flow.
38,store,2,37,to accumulate a flow. example: a dc electrical battery stores the energy in a flashlight.
39,contain,3,38,to keep a flow within limits. example: a vacuum bag contains debris vacuumed from a house.
40,collect,3,38,to bring a flow together into one place. example: solar panels collect ultra-violet sun rays to power small mechanisms.
41,supply,2,37,"to provide a flow from storage. example: in a flashlight, the battery supplies energy to the bulb."
42,signal,1,,"to provide information on a material, energy or signal flow as an output signal flow. the information providing flow passes through the function unchanged."
43,sense,2,42,"to perceive, or become aware, of a flow. example: an audiocassette machine senses if the end of the tape has been reached."
44,detect,3,43,to discover information about a flow. example: a gauge on the top of a gas cylinder detects proper pressure ranges.
45,measure,3,43,to determine the magnitude of a flow. example: an analog thermostat measures temperature through a bimetallic strip.
46,indicate,2,42,to make something known to the user about a flow. example: a small window in the water container of a coffee maker indicates the level of water in the machine.
47,track,3,46,"to observe and record data from a flow. example: by tracking the performance of batteries, the low efficiency point can be determined."
48,display,3,46,to reveal something about a flow to the mind or eye. example: the xyz-coordinate display on a vertical milling machine displays the precise location of the cutting tool.
49,process,2,42,to submit information to a particular treatment or method having a set number of operations or steps. example: a computer processes a login request signal before allowing a user access to its facilities.
51,stabilize,2,50,"to prevent a flow from changing course or location. example: on a typical canister vacuum, the center of gravity is placed at a low elevation to stabilize the vacuum when it is pulled by the hose."
50,support,1,,"to firmly fix a material into a defined location, or secure an energy or signal into a specific course."
52,secure,2,50,"to firmly fix a flow path. example: on a bicycling glove, a velcro strap secures the human hand in the correct place."
53,position,2,50,"to place a flow (material, energy, signal) into a specific location or orientation. example: the coin slot on a soda machine positions the coin to begin the coin evaluation and transportation procedure."
7,channel,1,,"to cause a flow (material, energy, signal) to move from one location to another location."
17,connect,1,,"to bring two or more flows (material, energy, signal) together."
18,couple,2,17,"to join or bring together flows (material, energy, signal) such that the members are still distinguishable from each other. example: a standard pencil couples an eraser and a writing shaft. the coupling is performed using a metal sleeve that is crimped to the eraser and the shaft."
10,transfer,2,7,"to shift, or convey, a flow (material, energy, signal) from one place to another."
